Name,Symbol,Open,Close,Change,Percent,SNR
CoStar Group,CSGP,90.2,78.17,-12.03,-13.3%,-61%
"Illumina, Inc.",ILMN,122.4,104.28,-18.12,-14.8%,-46%
Lululemon,LULU,358.05,311.99,-46.06,-12.9%,-34%
Kraft Heinz,KHC,37.26,35.37,-1.89,-5.1%,-32%
MongoDB Inc.,MDB,379.15,236.06,-143.09,-37.7%,-31%
O'Reilly Automotive,ORLY,1005.95,963.26,-42.69,-4.2%,-31%
PayPal,PYPL,67,62.99,-4.01,-6.0%,-30%
