name,sym,open,close,change,percent,snr
SiteOne Landscape Supply,SITE,142.67,141.86,-0.81,-0.006,-0.07
Oshkosh,OSK,109.52,107.91,-1.61,-0.015,-0.07
Mattel,MAT,19.3,18.98,-0.32,-0.017,-0.07
Ringcentral,RNG,34.8,33.33,-1.47,-0.042,-0.07
Summit Materials,SUM,41.78,40.5,-1.28,-0.031,-0.07
Stag Industrial,STAG,41.08,40.58,-0.5,-0.012,-0.07
Gulfport Energy,GPOR,147.59,145.06,-2.53,-0.017,-0.07
Liberty Global,LBTYA,19.46,19.35,-0.11,-0.006,-0.07
TriNet,TNET,104.67,102.83,-1.84,-0.018,-0.07
EchoStar,SATS,20.19,18.54,-1.65,-0.082,-0.07
Equity Commonwealth,EQC,20.34,20.27,-0.07,-0.003,-0.07
EverBank Financial,EVER,27,24.7,-2.3,-0.085,-0.07
Amazon,AMZN,189.29,178.5,-10.79,-0.057,-0.08
Pinterest,PINS,32.39,32.04,-0.35,-0.011,-0.08
Capital One,COF,151.73,146.93,-4.8,-0.032,-0.08
Las Vegas Sands,LVS,39.67,38.99,-0.68,-0.017,-0.08
Rockwell Automation,ROK,274.76,272.03,-2.73,-0.01,-0.08
MKS Instruments,MKSI,123.46,119.23,-4.23,-0.034,-0.08
KB Home,KBH,86.55,83.71,-2.84,-0.033,-0.08
PVH Corp,PVH,102.5,98.69,-3.81,-0.037,-0.08
Textron,TXT,92.84,91.2,-1.64,-0.018,-0.08
Dycom Industries,DY,185,175.96,-9.04,-0.049,-0.08
Powell Industries,POWL,181.68,167.44,-14.24,-0.078,-0.08
FormFactor,FORM,53.68,48.77,-4.91,-0.091,-0.08
TRI Pointe,TPH,45.6,44.44,-1.16,-0.025,-0.08
Adtalem Global Education,ATGE,78.55,75.71,-2.84,-0.036,-0.08
FNB Corp,FNB,15.32,14.98,-0.34,-0.022,-0.08
Pebblebrook Hotel Trust,PEB,13.61,13.3,-0.31,-0.023,-0.08
Home BancShares,HOMB,28.18,27.84,-0.34,-0.012,-0.08
Camping World,CWH,23.66,21.94,-1.72,-0.073,-0.08
Potlatch,PCH,44.29,43.46,-0.83,-0.019,-0.08
Arvinas Holding Co,ARVN,27.46,26.16,-1.3,-0.047,-0.08
Intuit,INTU,647,630.26,-16.74,-0.026,-0.09
Citigroup,C,65.08,62.64,-2.44,-0.037,-0.09
American International,AIG,76.48,77.05,0.57,0.007,-0.09
Diamondback Energy,FANG,201.34,195.11,-6.23,-0.031,-0.09
NetApp,NTAP,126.43,120.72,-5.71,-0.045,-0.09
First Citizens BancShares,FCNCA,2085.75,2030.7,-55.05,-0.026,-0.09
Sarepta Therapeutics,SRPT,143.52,135.78,-7.74,-0.054,-0.09
Discover Financial,DFS,144.23,138.71,-5.52,-0.038,-0.09
JM Smucker,SJM,118.2,114.68,-3.52,-0.03,-0.09
Paycom Software,PAYC,174.02,162.78,-11.24,-0.065,-0.09
Chesapeake Energy,CHK,76.8,74.49,-2.31,-0.03,-0.09
Unum,UNM,57.77,55.49,-2.28,-0.039,-0.09
Sirius XM,SIRI,3.49,3.29,-0.2,-0.057,-0.09
Ionis Pharma,IONS,49.88,47.68,-2.2,-0.044,-0.09
Webster Financial,WBS,49.6,47.43,-2.17,-0.044,-0.09
Webster Financial Corp.,WBS,49.6,47.43,-2.17,-0.044,-0.09
Axos Financial,AX,72.78,69.43,-3.35,-0.046,-0.09
Air Lease,AL,49.64,46.27,-3.37,-0.068,-0.09
Geo,GEO,14.45,13.87,-0.58,-0.04,-0.09
SLM,SLM,22.7,22.06,-0.64,-0.028,-0.09
Century Communities,CCS,105,100.07,-4.93,-0.047,-0.09
Dorian LPG,LPG,41.5,38.99,-2.51,-0.06,-0.09
American States Water,AWR,83.32,81.42,-1.9,-0.023,-0.09
Hershey,HSY,192.41,193.06,0.65,0.003,-0.1
Neurocrine Biosciences,NBIX,150.23,127.06,-23.17,-0.154,-0.1
AES Corp,AES,17.62,17.13,-0.49,-0.028,-0.1
Stanley Black and Decker,SWK,105.49,102.36,-3.13,-0.03,-0.1
Ally Financial,ALLY,44.89,43.19,-1.7,-0.038,-0.1
"Zions Bancorporation, NA",ZION,51.62,49.56,-2.06,-0.04,-0.1
Zions Bancorp,ZION,51.62,49.56,-2.06,-0.04,-0.1
WillScot,WSC,40.79,38.54,-2.25,-0.055,-0.1
WillScot Mobile Mini Holdings Corp.,WSC,40.79,38.54,-2.25,-0.055,-0.1
Cytokinetics,CYTK,58.95,57.08,-1.87,-0.032,-0.1
AO Smith,AOS,85.02,83.72,-1.3,-0.015,-0.1
Penn National Gaming,PENN,20.11,18.62,-1.49,-0.074,-0.1
Markel,MKL,1637.89,1600.68,-37.21,-0.023,-0.1
Brunswick,BC,81.34,79.05,-2.29,-0.028,-0.1
Emergent Biosolutions,EBS,12.74,8.31,-4.43,-0.348,-0.1
Columbia Banking System,COLB,26.18,25.18,-1,-0.038,-0.1
Timken,TKR,84.69,84.53,-0.16,-0.002,-0.1
