name,sym,open,close,change,percent,snr
G1 Therapeutics,GTHX,2.42,4.29,1.87,0.773,0.95
Catalent,CTLT,56.25,59.34,3.09,0.055,0.94
Acadia Realty Trust,AKR,17.88,21.64,3.76,0.21,0.87
Enova International,ENVA,62.34,86.47,24.13,0.387,0.87
Americold Realty Trust,COLD,25.75,29.89,4.14,0.161,0.84
Arthur J. Gallagher,AJG,260,283.49,23.49,0.09,0.83
National Western Life,NWLI,497.08,NA,NA,NA,0.83
Radian,RDN,31.29,37.1,5.81,0.186,0.83
NMI,NMIH,34.19,39.35,5.16,0.151,0.82
The Bancorp,TBBK,37.76,51.84,14.08,0.373,0.82
BankUnited,BKU,29.1,38.52,9.42,0.324,0.77
Mid Penn Bancorp,MPB,22.01,29.65,7.64,0.347,0.77
National HealthCare,NHC,108.14,136.16,28.02,0.259,0.77
Commerce Bancshares,CBSH,55.64,64.71,9.07,0.163,0.76
S&T Bancorp,STBA,33.34,44.38,11.04,0.331,0.76
Shenandoah Telecommunications Co,SHEN,16.47,21.29,4.82,0.293,0.75
Consolidated-Tomoka Land,CTO,17.57,20.07,2.5,0.142,0.74
First United,FUNC,20.9,28.13,7.23,0.346,0.74
Provident Financial,PFS,14.3,18.54,4.24,0.297,0.74
Pinnacle West Capital,PNW,76.8,85.59,8.79,0.114,0.74
Mercury,MRCY,27.01,35.55,8.54,0.316,0.73
The First of Long Island,FLIC,10.06,13.12,3.06,0.304,0.72
Innoviva,INVA,16.33,18.84,2.51,0.154,0.72
QCR,QCRH,60,76.44,16.44,0.274,0.72
Everbridge,EVBG,34.99,NA,NA,NA,0.71
Hingham Institution for Savings,HIFS,178.05,248.69,70.64,0.397,0.71
National CineMedia,NCMI,4.4,6.04,1.64,0.373,0.71
Philip Morris International,PM,101.98,115.16,13.18,0.129,0.71
First Financial Bankshares,FFIN,29.52,38.46,8.94,0.303,0.7
Home BancShares,HOMB,23.97,28.33,4.36,0.182,0.7
Southside Bancshares,SBSI,27.53,34.99,7.46,0.271,0.7
Atrion,ATRI,452.43,458.3,5.87,0.013,0.69
Twenty-First Century Fox,FOXA,34.51,38.04,3.53,0.102,0.69
Ligand Pharma,LGND,83.76,108.99,25.23,0.301,0.69
South State,SSB,76.38,98.97,22.59,0.296,0.69
Washington Federal,WAFD,28.52,35.59,7.07,0.248,0.69
"Washington Federal, Inc.",WAFD,28.52,35.59,7.07,0.248,0.69
Evercore Partners,EVR,209.22,250.39,41.17,0.197,0.68
Hibbett Sports,HIBB,87.2,NA,NA,NA,0.68
Citizens Financial,CFG,36.21,42.67,6.46,0.178,0.67
The Hackett,HCKT,21.76,27.28,5.52,0.254,0.67
Middlesex Water,MSEX,52.19,66.48,14.29,0.274,0.67
PNC Financial,PNC,155.94,181.1,25.16,0.161,0.67
Community Bank System,CBU,47.02,61.68,14.66,0.312,0.66
CPB,CPF,21.33,26.09,4.76,0.223,0.66
Independent Bank,IBTX,45.41,59.06,13.65,0.301,0.66
Intercontinental Exchange,ICE,138.65,151.56,12.91,0.093,0.66
Fonar,FONR,16,18.48,2.48,0.155,0.65
Twenty-First Century Fox,FOX,32.14,35.43,3.29,0.102,0.65
Formula One Group,FWONA,64.4,73.97,9.57,0.149,0.65
Northwest Bancshares,NWBI,11.53,14.04,2.51,0.218,0.65
SIGA Technologies,SIGA,7.59,9.98,2.39,0.315,0.65
TrustCo Bank NY,TRST,28.79,35.61,6.82,0.237,0.65
Atlanticus,ATLC,28.04,35.77,7.73,0.276,0.64
Duke Energy,DUK,100.73,109.27,8.54,0.085,0.64
FirstEnergy,FE,38.53,41.91,3.38,0.088,0.64
First Industrial Realty Trust,FR,47.34,54.72,7.38,0.156,0.64
Independent Bank,INDB,50.11,64.15,14.04,0.28,0.64
Legacy Housing,LEGH,22.93,28.48,5.55,0.242,0.64
PJT Partners,PJT,108.18,132.94,24.76,0.229,0.64
Zumiez,ZUMZ,19.51,25.42,5.91,0.303,0.64
"Zumiez, Inc.",ZUMZ,19.51,25.42,5.91,0.303,0.64
First Financial Bancorp.,FFBC,22.11,27.36,5.25,0.237,0.63
Fifth Third Bancorp,FITB,36.49,42.34,5.85,0.16,0.63
Heritage Financial,HFWA,17.94,23.17,5.23,0.292,0.63
Independent Bank,IBCP,26.98,34.69,7.71,0.286,0.63
Jefferies Financial,JEF,50,58.47,8.47,0.169,0.63
MGE Energy,MGEE,74.63,87.84,13.21,0.177,0.63
Natural Grocers by Vitamin Cottage,NGVC,21.37,27.28,5.91,0.277,0.63
Stag Industrial,STAG,35.94,40.81,4.87,0.136,0.63
Weis Markets,WMK,62.77,75.45,12.68,0.202,0.63
"Weis Markets, Inc.",WMK,62.77,75.45,12.68,0.202,0.63
Agree Realty,ADC,61.72,68.97,7.25,0.117,0.62
American Electric Power,AEP,88.22,98.12,9.9,0.112,0.62
